director_name,director_avg_score,director_movie_count
jonathan frakes,6.1934535001837085,4.0
george clooney,6.614108150165338,5.0
gary shore,6.440180250275563,1.0
andrzej bartkowiak,5.864108150165338,5.0
måns mårlind,6.456846916942229,1.0
gregory hoblit,6.517635187706672,3.0
gary mckendry,6.473513583608896,1.0
wych kaosayananda,5.9901802502755634,1.0
mikael salomon,6.356846916942229,1.0
bobby farrelly,6.242738766776892,10.0
kerry conran,6.4068469169422295,1.0
michael caton-jones,6.215675722405931,4.0
mikael håfström,6.493453500183708,4.0
phil alden robinson,6.456846916942229,1.0
david slade,6.367635187706672,3.0
joseph ruben,6.3235135836088965,1.0
seth macfarlane,6.480135187706672,3.0
alejandro amenábar,6.771231277961487,4.0
kinka usher,6.390180250275563,1.0
craig gillespie,6.660120166850375,4.0
rob bowman,6.282342389072598,4.0
doug lefler,6.290180250275562,1.0
scott waugh,6.473513583608896,1.0
lawrence kasdan,6.364108150165338,5.0
michael lembeck,6.305868785950482,2.0
tom hooper,6.9426351877066725,3.0
nora ephron,6.355135187706672,3.0
angelina jolie pitt,6.142635187706672,3.0
clint eastwood,7.032533796926668,27.0
larry charles,6.504108150165338,5.0
stanley kubrick,7.331007409241216,6.0
will gluck,6.405135187706672,3.0
glenn ficarra,6.617635187706672,3.0
david s. goyer,6.148725928807626,2.0
taylor hackford,6.69464377287758,6.0
michael lehmann,6.155135187706672,3.0
stuart beattie,6.2401802502755634,1.0
roman polanski,6.985552863786671,6.0
frank miller,6.467635187706672,3.0
baltasar kormákur,6.580135187706672,3.0
daniel lee,6.377297357379054,2.0
keenen ivory wayans,5.893453500183709,4.0
rob reiner,6.846317593853336,11.0
marco schnabel,6.023513583608896,1.0
demian lichtenstein,6.373513583608896,1.0
josh gordon,6.391583071664768,2.0
tim hill,5.954108150165338,5.0
david frankel,6.526786833517042,4.0
brenda chapman,6.55684691694223,1.0
marc lawrence,6.205135187706672,3.0
peter billingsley,6.30684691694223,1.0
wes ball,6.505868785950483,2.0
ryan murphy,6.320154500236197,2.0
robert redford,6.654108150165338,5.0
jay russell,6.5676351877066725,3.0
kenny ortega,6.084108150165338,5.0
david mcnally,6.048725928807626,2.0
brian robbins,5.9582801365139435,6.0
brian levant,5.567371045604852,6.0
steven zaillian,6.434440214521912,2.0
chris butler,6.55684691694223,1.0
jon avnet,6.292635187706672,3.0
sam fell,6.4068469169422295,1.0
kevin donovan,6.273513583608896,1.0
geoff murphy,6.290180250275562,1.0
david o. russell,6.617220107260955,9.0
babak najafi,6.373513583608896,1.0
jean-pierre jeunet,6.904108150165338,5.0
graham annable,6.523513583608896,1.0
griffin dunne,6.305868785950482,2.0
john pasquin,6.155135187706672,3.0
ruben fleischer,6.60456461129482,4.0
harold ramis,6.518544730896414,8.0
kevin macdonald,6.905135187706672,3.0
donald petrie,5.972390884742568,8.0
jorge blanco,6.4068469169422295,1.0
stuart baird,6.448725928807625,2.0
joel coen,6.882342389072597,4.0
robert lorenz,6.391583071664768,2.0
harold becker,6.326786833517042,4.0
scott stewart,6.177297357379054,2.0
patrick gilmore,6.50684691694223,1.0
tony bill,6.4901802502755634,1.0
rod lurie,6.534108150165338,5.0
walter hill,6.226786833517043,4.0
akiva goldsman,6.423513583608897,1.0
harald zwart,6.191583071664768,2.0
walter salles,6.5051351877066725,3.0
iain softley,6.50456461129482,4.0
david koepp,6.4641081501653375,5.0
uwe boll,5.094108150165338,5.0
pou-soi cheang,6.390180250275563,1.0
john dahl,6.615675722405931,4.0
tim miller,6.7401802502755634,1.0
stephen herek,6.2570062693579525,8.0
peter macdonald,6.340180250275563,1.0
anthony hemingway,6.373513583608896,1.0
sean anders,6.315675722405931,4.0
mark neveldine,6.014108150165338,5.0
john madden,6.6241081501653385,5.0
kevin bray,6.320154500236197,2.0
mike gabriel,6.4901802502755634,1.0
sam weisman,6.0156757224059305,4.0
jesse dylan,6.305135187706672,3.0
wayne wang,6.244108150165338,5.0
gabriele muccino,6.6934535001837085,4.0
tom dey,6.092635187706672,3.0
jimmy hayward,6.134440214521911,2.0
alan parker,6.680135187706672,3.0
john frankenheimer,6.304108150165338,5.0
paul king,6.76301164309334,2.0
akiva schaffer,6.391583071664768,2.0
william friedkin,6.69464377287758,6.0
kent alterman,6.356846916942229,1.0
peter lord,6.577297357379054,2.0
shekhar kapur,6.655135187706672,3.0
karyn kusama,6.134440214521911,2.0
ron maxwell,6.620154500236197,2.0
robert butler,6.173513583608897,1.0
karey kirkpatrick,6.3235135836088965,1.0
steve antin,6.456846916942229,1.0
jim gillespie,6.177297357379054,2.0
francis ford coppola,7.121317593853336,11.0
richard lester,6.534108150165338,5.0
scott cooper,6.737897944628153,4.0
robert rodriguez,5.907837861202966,13.0
curtis hanson,6.549189227423034,6.0
phyllida lloyd,6.434440214521912,2.0
jay chandrasekhar,6.271231277961486,4.0
terrence malick,6.949189227423034,6.0
david dobkin,6.549009055739265,4.0
milos forman,7.092635187706672,3.0
pierre morel,6.637897944628153,4.0
paul hunter,6.30684691694223,1.0
steve oedekerk,6.3490090557392636,4.0
